zipcode,city,state, outbound , inbound , netgain ,pct_inbound
24112,MARTINSVILLE,VA," 10,099 "," 9,900 ", (199),49.5%
24114,MARTINSVILLE,VA, 26 , 11 , (15),29.7%
24115,MARTINSVILLE,VA, 303 , 257 , (46),45.9%
24120,MEADOWS OF DAN,VA, 506 , 639 , 133 ,55.8%
24121,MONETA,VA," 4,750 "," 5,077 ", 327 ,51.7%
24122,MONTVALE,VA, 321 , 302 , (19),48.5%
24124,NARROWS,VA," 1,475 "," 1,537 ", 62 ,51.0%
24127,NEW CASTLE,VA," 1,154 "," 1,188 ", 34 ,50.7%
24128,NEWPORT,VA, 518 , 394 , (124),43.2%
24132,PARROTT,VA, 13 , -   , (13),0.0%
24133,PATRICK SPGS,VA, 11 , 39 , 28 ,78.0%
24133,PATRICK SPRINGS,VA, 537 , 677 , 140 ,55.8%
24134,PEARISBURG,VA," 1,797 "," 1,881 ", 84 ,51.1%
24136,PEMBROKE,VA," 1,161 "," 1,220 ", 59 ,51.2%
24137,PENHOOK,VA," 1,080 "," 1,080 ", -   ,50.0%
24138,PILOT,VA, 131 , 200 , 69 ,60.4%
24141,RADFORD,VA," 9,498 "," 8,252 "," (1,246)",46.5%
24143,RADFORD,VA, 120 , 351 , 231 ,74.5%
24147,RICH CREEK,VA, 186 , 244 , 58 ,56.7%
24148,RIDGEWAY,VA," 2,386 "," 2,063 ", (323),46.4%
24149,RINER,VA, 955 , 986 , 31 ,50.8%
24150,RIPPLEMEAD,VA, 11 , 11 , -   ,50.0%
24151,ROCKY MOUNT,VA," 6,283 "," 6,012 ", (271),48.9%
24153,SALEM,VA," 13,110 "," 13,677 ", 567 ,51.1%
24162,SHAWSVILLE,VA, 602 , 646 , 44 ,51.8%
24165,SPENCER,VA, 222 , 237 , 15 ,51.6%
24168,STANLEYTOWN,VA, 42 , 13 , (29),23.6%
24171,STUART,VA," 2,145 "," 2,316 ", 171 ,51.9%
24174,THAXTON,VA, 563 , 673 , 110 ,54.4%
24175,TROUTVILLE,VA," 1,986 "," 2,333 ", 347 ,54.0%
24176,UNION HALL,VA, 500 , 628 , 128 ,55.7%
24179,VINTON,VA," 6,601 "," 6,702 ", 101 ,50.4%
24184,BURNT CHIMNEY,VA, 23 , 41 , 18 ,64.1%
24184,WIRTZ,VA," 1,419 "," 1,516 ", 97 ,51.7%
24185,WOOLWINE,VA, 11 , 37 , 26 ,77.1%
24201,BRISTOL,VA," 6,487 "," 6,248 ", (239),49.1%
24202,BRISTOL,VA," 2,993 "," 3,425 ", 432 ,53.4%
24203,BRISTOL,VA, -   , 13 , 13 ,100.0%
24209,BRISTOL,VA, 68 , 43 , (25),38.7%
24210,ABINGDON,VA," 5,484 "," 5,495 ", 11 ,50.1%
24211,ABINGDON,VA," 2,440 "," 2,767 ", 327 ,53.1%
24212,ABINGDON,VA, 714 , 493 , (221),40.8%
24216,APPALACHIA,VA," 1,125 ", 567 , (558),33.5%
24219,BIG STONE GAP,VA," 2,836 "," 2,397 ", (439),45.8%
24220,BIRCHLEAF,VA, 17 , 11 , (6),39.3%
24221,BLACKWATER,VA, 14 , -   , (14),0.0%
24224,CASTLEWOOD,VA," 1,271 "," 1,114 ", (157),46.7%
24225,CLEVELAND,VA, 224 , 95 , (129),29.8%
24226,CLINCHCO,VA, 166 , 114 , (52),40.7%
24228,CLINTWOOD,VA," 1,590 "," 1,626 ", 36 ,50.6%
24230,COEBURN,VA," 2,103 "," 1,868 ", (235),47.0%
24236,DAMASCUS,VA," 1,132 "," 1,111 ", (21),49.5%
24237,DANTE,VA, 169 , 58 , (111),25.6%
24243,DRYDEN,VA, 406 , 444 , 38 ,52.2%
24244,DUFFIELD,VA," 1,254 "," 1,274 ", 20 ,50.4%
24245,DUNGANNON,VA, 67 , 64 , (3),48.9%
24246,EAST STONE GAP,VA, 11 , -   , (11),0.0%
24248,EWING,VA, 542 , 539 , (3),49.9%
24250,FORT BLACKMORE,VA, 37 , -   , (37),0.0%
24251,GATE CITY,VA," 2,182 "," 2,290 ", 108 ,51.2%
24256,HAYSI,VA, 864 , 749 , (115),46.4%
24258,HILTONS,VA, 28 , 60 , 32 ,68.2%
24260,HONAKER,VA," 1,158 "," 1,124 ", (34),49.3%
24263,JONESVILLE,VA," 1,559 "," 1,617 ", 58 ,50.9%
24265,KEOKEE,VA, -   , 11 , 11 ,100.0%
24266,LEBANON,VA," 2,251 "," 2,422 ", 171 ,51.8%
24271,NICKELSVILLE,VA, 407 , 520 , 113 ,56.1%
24273,NORTON,VA," 2,092 "," 1,709 ", (383),45.0%
24277,PENNINGTN GAP,VA, 108 , 130 , 22 ,54.6%
24277,PENNINGTON GAP,VA," 1,706 "," 1,764 ", 58 ,50.8%
24279,POUND,VA, 734 , 665 , (69),47.5%
24280,ROSEDALE,VA, -   , 13 , 13 ,100.0%
24281,ROSE HILL,VA, 519 , 594 , 75 ,53.4%
24282,SAINT CHARLES,VA, 11 , 13 , 2 ,54.2%
24283,SAINT PAUL,VA, 554 , 515 , (39),48.2%
24283,ST PAUL,VA, 13 , 15 , 2 ,53.6%
24290,WEBER CITY,VA, 330 , 384 , 54 ,53.8%
24293,WISE,VA," 2,337 "," 2,232 ", (105),48.9%
24301,PULASKI,VA," 5,700 "," 4,953 ", (747),46.5%
24311,ATKINS,VA, 462 , 390 , (72),45.8%
24312,AUSTINVILLE,VA, 311 , 362 , 51 ,53.8%
24313,BARREN SPRINGS,VA, 26 , 35 , 9 ,57.4%
24314,BASTIAN,VA, 99 , 149 , 50 ,60.1%
24315,BLAND,VA, 600 , 681 , 81 ,53.2%
24317,CANA,VA, 902 , 844 , (58),48.3%
24319,CHILHOWIE,VA," 2,317 "," 1,986 ", (331),46.2%
24324,DRAPER,VA, 484 , 478 , (6),49.7%
24325,DUGSPUR,VA, 35 , 90 , 55 ,72.0%
24326,ELK CREEK,VA, 67 , 64 , (3),48.9%
24328,FANCY GAP,VA, 796 , 950 , 154 ,54.4%
24330,FRIES,VA, 964 , 848 , (116),46.8%
24333,GALAX,VA," 5,461 "," 5,385 ", (76),49.6%
24340,GLADE SPRING,VA," 1,423 "," 1,521 ", 98 ,51.7%
24343,HILLSVILLE,VA," 2,883 "," 2,947 ", 64 ,50.5%
24347,ALLISONIA,VA, 28 , 11 , (17),28.2%
24347,HIWASSEE,VA, 158 , 119 , (39),43.0%
24348,INDEPENDENCE,VA," 1,190 "," 1,221 ", 31 ,50.6%
24350,IVANHOE,VA, 58 , 48 , (10),45.3%
24350,WILLIS,VA, 14 , -   , (14),0.0%
24352,LAUREL FORK,VA, 49 , 100 , 51 ,67.1%
24354,MARION,VA," 6,313 "," 5,193 "," (1,120)",45.1%
24360,MAX MEADOWS,VA," 1,398 "," 1,523 ", 125 ,52.1%
24361,MEADOWVIEW,VA," 1,130 "," 1,168 ", 38 ,50.8%
24363,MOUTH OF WILSON,VA, 118 , 103 , (15),46.6%
24363,MOUTH WILSON,VA, -   , 18 , 18 ,100.0%
24366,ROCKY GAP,VA, 65 , 11 , (54),14.5%
24368,RURAL RETREAT,VA," 1,581 "," 1,558 ", (23),49.6%
24370,SALTVILLE,VA," 1,440 "," 1,393 ", (47),49.2%
24374,SPEEDWELL,VA, 74 , 145 , 71 ,66.2%
24375,SUGAR GROVE,VA, 145 , 335 , 190 ,69.8%
24378,TROUTDALE,VA, 40 , 26 , (14),39.4%
24380,FLOYD,VA, 24 , 16 , (8),40.0%
24380,WILLIS,VA, 685 , 763 , 78 ,52.7%
24381,WOODLAWN,VA," 1,159 "," 1,231 ", 72 ,51.5%
24382,WYTHEVILLE,VA," 5,639 "," 5,261 ", (378),48.3%
24401,STAUNTON,VA," 15,071 "," 14,554 ", (517),49.1%
24402,STAUNTON,VA, 475 , 459 , (16),49.1%
24416,BUENA VISTA,VA," 3,479 "," 3,103 ", (376),47.1%
24421,CHURCHVILLE,VA, 917 , 863 , (54),48.5%
24422,CLIFTON FORGE,VA," 2,392 "," 2,101 ", (291),46.8%
24426,COVINGTON,VA," 5,195 "," 4,507 ", (688),46.5%
24430,CRAIGSVILLE,VA, 614 , 571 , (43),48.2%
24431,CRIMORA,VA, 901 , 852 , (49),48.6%
24435,FAIRFIELD,VA, 495 , 410 , (85),45.3%
24437,FORT DEFIANCE,VA, 36 , 37 , 1 ,50.7%
24439,GOSHEN,VA, 128 , 142 , 14 ,52.6%
24440,GREENVILLE,VA, 810 , 917 , 107 ,53.1%
24441,GROTTOES,VA," 2,007 "," 2,067 ", 60 ,50.7%
24442,HEAD WATERS,VA, 11 , -   , (11),0.0%
24445,HOT SPRINGS,VA, 707 , 732 , 25 ,50.9%
24450,LEXINGTON,VA," 6,279 "," 6,053 ", (226),49.1%
24459,MIDDLEBROOK,VA, 24 , 23 , (1),48.9%
24460,MILLBORO,VA, 231 , 247 , 16 ,51.7%
24465,HIGHTOWN,VA, 12 , 31 , 19 ,72.1%
24465,MONTEREY,VA, 206 , 305 , 99 ,59.7%
24467,MOUNT SIDNEY,VA, 365 , 453 , 88 ,55.4%
24471,PORT REPUBLIC,VA, 82 , 77 , (5),48.4%
24472,RAPHINE,VA, 688 , 661 , (27),49.0%
24473,ROCKBRIDGE BATHS,VA, -   , 84 , 84 ,100.0%
24474,SELMA,VA, 11 , -   , (11),0.0%
24477,STUARTS DRAFT,VA," 4,292 "," 3,908 ", (384),47.7%
24479,SWOOPE,VA, 103 , 112 , 9 ,52.1%
24482,VERONA,VA," 1,784 "," 1,692 ", (92),48.7%
24483,VESUVIUS,VA, 24 , 12 , (12),33.3%
24484,WARM SPRINGS,VA, 12 , 49 , 37 ,80.3%
24486,WEYERS CAVE,VA, 912 , 831 , (81),47.7%
24501,LYNCHBURG,VA," 12,324 "," 10,324 "," (2,000)",45.6%
24502,LYNCHBURG,VA," 21,625 "," 18,462 "," (3,163)",46.1%
24503,LYNCHBURG,VA," 6,592 "," 7,046 ", 454 ,51.7%
24504,LYNCHBURG,VA," 4,893 "," 4,338 ", (555),47.0%
24505,LYNCHBURG,VA, 76 , 164 , 88 ,68.3%
24506,LYNCHBURG,VA, 877 , 469 , (408),34.8%
24517,ALTAVISTA,VA," 1,813 "," 1,789 ", (24),49.7%
24520,ALTON,VA, 345 , 317 , (28),47.9%
24521,AMHERST,VA," 2,457 "," 2,683 ", 226 ,52.2%
24522,APPOMATTOX,VA," 2,584 "," 2,895 ", 311 ,52.8%
24523,BEDFORD,VA," 6,441 "," 6,319 ", (122),49.5%
24526,BIG ISLAND,VA, 212 , 163 , (49),43.5%
24527,BLAIRS,VA, 453 , 633 , 180 ,58.3%
24528,BROOKNEAL,VA, 800 , 865 , 65 ,52.0%
24529,BUFFALO JCT,VA, 11 , 11 , -   ,50.0%
24529,BUFFALO JUNCTION,VA, 177 , 135 , (42),43.3%
24530,CALLANDS,VA, 22 , 27 , 5 ,55.1%
24531,CHATHAM,VA," 1,996 "," 2,006 ", 10 ,50.1%
24534,CLOVER,VA, 104 , 129 , 25 ,55.4%
24538,CONCORD,VA," 1,202 "," 1,274 ", 72 ,51.5%
24540,DANVILLE,VA," 10,488 "," 10,059 ", (429),49.0%
24541,DANVILLE,VA," 10,288 "," 9,675 ", (613),48.5%
24543,DANVILLE,VA, 281 , 847 , 566 ,75.1%
24549,DRY FORK,VA, 928 , 916 , (12),49.7%
24550,EVINGTON,VA," 1,999 "," 2,041 ", 42 ,50.5%
24551,FOREST,VA," 8,997 "," 9,635 ", 638 ,51.7%
24553,GLADSTONE,VA, 190 , 256 , 66 ,57.4%
24554,GLADYS,VA, 791 , 909 , 118 ,53.5%
24555,GLASGOW,VA, 637 , 678 , 41 ,51.6%
24556,GOODE,VA, 606 , 955 , 349 ,61.2%
24557,GRETNA,VA," 2,185 "," 1,987 ", (198),47.6%
24558,HALIFAX,VA," 1,623 "," 1,787 ", 164 ,52.4%
24562,HOWARDSVILLE,VA, 12 , -   , (12),0.0%
24563,HURT,VA," 1,645 "," 1,555 ", (90),48.6%
24565,JAVA,VA, 11 , 22 , 11 ,66.7%
24566,KEELING,VA, 24 , 77 , 53 ,76.2%
24569,LONG ISLAND,VA, -   , 24 , 24 ,100.0%
24571,LYNCH STATION,VA, 172 , 272 , 100 ,61.3%
24572,MADISON HEIGHTS,VA," 4,601 "," 4,657 ", 56 ,50.3%
24572,MADISON HTS,VA, 241 , 290 , 49 ,54.6%
24574,MONROE,VA," 1,034 "," 1,227 ", 193 ,54.3%
24577,NATHALIE,VA," 1,110 "," 1,112 ", 2 ,50.0%
24578,NATURAL BRIDGE,VA, 38 , 66 , 28 ,63.5%
24579,NATURAL BRIDGE STATION,VA, 218 , 196 , (22),47.3%
24580,NELSON,VA, -   , 13 , 13 ,100.0%
24586,RINGGOLD,VA," 1,271 "," 1,255 ", (16),49.7%
24588,RUSTBURG,VA," 2,626 "," 2,704 ", 78 ,50.7%
24589,SCOTTSBURG,VA, 212 , 191 , (21),47.4%
24590,SCOTTSVILLE,VA," 2,191 "," 2,352 ", 161 ,51.8%
24592,SOUTH BOSTON,VA," 4,580 "," 3,920 ", (660),46.1%
24593,SPOUT SPRING,VA, 402 , 352 , (50),46.7%
24594,SUTHERLIN,VA, 76 , 118 , 42 ,60.8%
24595,SWEET BRIAR,VA, 102 , 22 , (80),17.7%
24597,VERNON HILL,VA, 26 , 68 , 42 ,72.3%
24598,VIRGILINA,VA, 121 , 116 , (5),48.9%
24602,BANDY,VA, -   , 11 , 11 ,100.0%
24603,BIG ROCK,VA, 23 , -   , (23),0.0%
24605,BLUEFIELD,VA," 2,876 "," 2,467 ", (409),46.2%
24609,CEDAR BLUFF,VA," 1,878 "," 1,486 ", (392),44.2%
24612,DORAN,VA, 13 , -   , (13),0.0%
24613,FALLS MILLS,VA, 45 , 11 , (34),19.6%
24614,GRUNDY,VA," 1,777 "," 1,300 ", (477),42.2%
24620,HURLEY,VA, 181 , 65 , (116),26.4%
24622,JEWELL RIDGE,VA, 13 , 11 , (2),45.8%
24630,N TAZEWELL,VA, 181 , 181 , -   ,50.0%
24630,NORTH TAZEWELL,VA," 1,558 "," 1,614 ", 56 ,50.9%
24631,OAKWOOD,VA, 121 , 103 , (18),46.0%
24635,POCAHONTAS,VA, 23 , -   , (23),0.0%
24637,POUNDING MILL,VA," 1,050 ", 838 , (212),44.4%
24639,RAVEN,VA, 785 , 633 , (152),44.6%
24641,RICHLANDS,VA," 1,822 "," 1,642 ", (180),47.4%
24649,SWORDS CREEK,VA, 371 , 165 , (206),30.8%
24651,TAZEWELL,VA," 1,885 "," 1,682 ", (203),47.2%
24656,VANSANT,VA, 694 , 397 , (297),36.4%
24701,BLUEFIELD,WV," 7,432 "," 6,231 "," (1,201)",45.6%
24712,ATHENS,WV, 443 , 424 , (19),48.9%
24733,LASHMEET,WV, 13 , -   , (13),0.0%
24736,MATOAKA,WV, -   , 12 , 12 ,100.0%
24739,PRINCETON,WV," 3,503 "," 3,363 ", (140),49.0%
24740,PRINCETON,WV," 6,804 "," 6,143 ", (661),47.4%
24747,ROCK,WV, 391 , 398 , 7 ,50.4%
24801,WELCH,WV," 1,181 ", 793 , (388),40.2%
24818,BRENTON,WV, -   , 14 , 14 ,100.0%
24827,CYCLONE,WV, 187 , 57 , (130),23.4%
24844,IAEGER,WV, 24 , 11 , (13),31.4%
24850,JOLO,WV, 12 , 14 , 2 ,53.8%
24868,NORTHFORK,WV, 46 , 13 , (33),22.0%
24870,OCEANA,WV, 476 , 215 , (261),31.1%
24872,PANTHER,WV, -   , 12 , 12 ,100.0%
24873,PAYNESVILLE,WV, 19 , -   , (19),0.0%
24874,PINEVILLE,WV, 285 , 251 , (34),46.8%
24892,WAR,WV, 406 , 123 , (283),23.3%
24901,LEWISBURG,WV," 4,064 "," 3,695 ", (369),47.6%
24910,ALDERSON,WV," 1,205 "," 1,257 ", 52 ,51.1%
24916,ASBURY,WV, 11 , -   , (11),0.0%
24918,BALLARD,WV, 54 , 59 , 5 ,52.2%
24925,CALDWELL,WV, 67 , 56 , (11),45.5%
24931,CLINTONVILLE,WV, 14 , -   , (14),0.0%
24931,CRAWLEY,WV, 137 , 208 , 71 ,60.3%
24934,DUNMORE,WV, 16 , -   , (16),0.0%
24935,FOREST HILL,WV, -   , 23 , 23 ,100.0%
24938,FRANKFORD,WV, 170 , 178 , 8 ,51.1%
24941,GAP MILLS,WV, 86 , 77 , (9),47.2%
24946,HILLSBORO,WV, 211 , 165 , (46),43.9%
24951,LINDSIDE,WV, 102 , 113 , 11 ,52.6%
24954,MARLINTON,WV," 1,536 "," 1,245 ", (291),44.8%
24957,MAXWELTON,WV, 26 , 23 , (3),46.9%
24963,PETERSTOWN,WV," 1,186 "," 1,159 ", (27),49.4%
24966,AUTO,WV, 16 , -   , (16),0.0%
24966,RENICK,WV, 151 , 96 , (55),38.9%
24970,RONCEVERTE,WV," 1,308 "," 1,211 ", (97),48.1%
24976,SINKS GROVE,WV, 15 , 61 , 46 ,80.3%
24981,TALCOTT,WV, 24 , 23 , (1),48.9%
24983,UNION,WV, 274 , 372 , 98 ,57.6%
24986,WHITE SULPHUR SPRINGS,WV," 1,451 "," 1,368 ", (83),48.5%
24986,WHT SULPHUR SPGS,WV, 386 , 408 , 22 ,51.4%
25003,ALUM CREEK,WV, 313 , 277 , (36),46.9%
25007,ARNETT,WV, 23 , -   , (23),0.0%
25009,ASHFORD,WV, -   , 16 , 16 ,100.0%
25011,BANCROFT,WV, 13 , -   , (13),0.0%
25015,BELLE,WV," 1,010 ", 945 , (65),48.3%
25015,QUINCY,WV, 21 , 11 , (10),34.4%
25015,SHREWSBURY,WV, 25 , 21 , (4),45.7%
25030,BOMONT,WV, 13 , -   , (13),0.0%
25031,BOOMER,WV, 24 , -   , (24),0.0%
25033,BUFFALO,WV, 282 , 272 , (10),49.1%
25035,CABIN CREEK,WV, 51 , 43 , (8),45.7%
25039,CEDAR GROVE,WV, 26 , -   , (26),0.0%
25040,CHARLTON HEIGHTS,WV, 11 , -   , (11),0.0%
25043,CLAY,WV, 439 , 296 , (143),40.3%
25045,CLENDENIN,WV," 1,167 "," 1,187 ", 20 ,50.4%
25049,COMFORT,WV, 32 , 11 , (21),25.6%
25053,DANVILLE,WV," 1,107 ", 750 , (357),40.4%
25063,DUCK,WV, 96 , 109 , 13 ,53.2%
25063,STRANGE CREEK,WV, 26 , -   , (26),0.0%
25064,DUNBAR,WV," 4,260 "," 3,546 ", (714),45.4%
25067,EAST BANK,WV, 27 , 43 , 16 ,61.4%
25070,ELEANOR,WV, 295 , 188 , (107),38.9%
25071,ELKVIEW,WV," 2,476 "," 2,530 ", 54 ,50.5%
25081,FOSTER,WV, 12 , 25 , 13 ,67.6%
25082,FRAZIERS BOTTOM,WV, 280 , 326 , 46 ,53.8%
25082,PLINY,WV, -   , 11 , 11 ,100.0%
25085,GAULEY BRIDGE,WV, 14 , -   , (14),0.0%
25086,GLASGOW,WV, 11 , -   , (11),0.0%
25093,GORDON,WV, 11 , -   , (11),0.0%
25106,HENDERSON,WV, 11 , 12 , 1 ,52.2%
25107,HERNSHAW,WV, 13 , -   , (13),0.0%
25108,HEWETT,WV, -   , 12 , 12 ,100.0%
25109,HOMETOWN,WV, -   , 12 , 12 ,100.0%
25112,INSTITUTE,WV, -   , 15 , 15 ,100.0%
25113,IVYDALE,WV, 154 , 104 , (50),40.3%
25119,KINCAID,WV, 11 , -   , (11),0.0%
25123,LEON,WV, 551 , 666 , 115 ,54.7%
25123,WINFIELD,WV, 20 , 21 , 1 ,51.2%
25125,LIZEMORES,WV, 11 , 24 , 13 ,68.6%
25130,MADISON,WV," 1,274 ", 819 , (455),39.1%
25133,MAYSEL,WV, 26 , 27 , 1 ,50.9%
25136,MONTGOMERY,WV, 502 , 481 , (21),48.9%
25140,NAOMA,WV, 11 , 15 , 4 ,57.7%
25143,NITRO,WV," 4,186 "," 2,940 "," (1,246)",41.3%
25154,PEYTONA,WV, -   , 11 , 11 ,100.0%
25159,POCA,WV," 1,386 "," 1,411 ", 25 ,50.4%
25162,PRATT,WV, 11 , -   , (11),0.0%
25164,OVAPA,WV, 14 , -   , (14),0.0%
25164,PIGEON,WV, 35 , 39 , 4 ,52.7%
25164,PROCIOUS,WV, 54 , 27 , (27),33.3%
25168,RED HOUSE,WV, 369 , 451 , 82 ,55.0%
25177,SAINT ALBANS,WV," 8,340 "," 7,421 ", (919),47.1%
25181,SETH,WV, 154 , 59 , (95),27.7%
25186,SMITHERS,WV, -   , 11 , 11 ,100.0%
25202,TORNADO,WV, 82 , 104 , 22 ,55.9%
25208,WHARTON,WV, 12 , -   , (12),0.0%
25209,WHITESVILLE,WV, 83 , 47 , (36),36.2%
25213,WINFIELD,WV," 1,540 "," 1,685 ", 145 ,52.2%
25234,ARNOLDSBURG,WV, 95 , 193 , 98 ,67.0%
25235,CHLOE,WV, 120 , 68 , (52),36.2%
25239,COTTAGEVILLE,WV, 299 , 314 , 15 ,51.2%
25241,EVANS,WV, 327 , 284 , (43),46.5%
25243,GANDEEVILLE,WV, 56 , 77 , 21 ,57.9%
25245,GIVEN,WV, -   , 31 , 31 ,100.0%
25248,KENNA,WV, 469 , 613 , 144 ,56.7%
25252,LE ROY,WV, -   , 24 , 24 ,100.0%
25253,LETART,WV, 80 , 74 , (6),48.1%
25259,LOONEYVILLE,WV, 25 , 12 , (13),32.4%
25260,MASON,WV, 453 , 163 , (290),26.5%
25261,MILLSTONE,WV, 11 , -   , (11),0.0%
25262,MILLWOOD,WV, 124 , 76 , (48),38.0%
25264,MOUNT ALTO,WV, -   , 11 , 11 ,100.0%
25265,NEW HAVEN,WV, 173 , 104 , (69),37.5%
25266,NEWTON,WV, 23 , -   , (23),0.0%
25268,ORMA,WV, 12 , 11 , (1),47.8%
25270,REEDY,WV, 12 , 42 , 30 ,77.8%
25271,RIPLEY,WV," 3,395 "," 3,121 ", (274),47.9%
25275,SANDYVILLE,WV, 611 , 445 , (166),42.1%
25276,SPENCER,WV," 2,953 "," 2,933 ", (20),49.8%
25285,WALLBACK,WV, 12 , -   , (12),0.0%
25286,WALTON,WV, 150 , 97 , (53),39.3%
25287,WEST COLUMBIA,WV, 56 , 14 , (42),20.0%
25301,CHARLESTON,WV," 2,067 "," 2,189 ", 122 ,51.4%
25302,CHARLESTON,WV," 5,969 "," 5,440 ", (529),47.7%
25303,CHARLESTON,WV, 239 , 251 , 12 ,51.2%
25303,S CHARLESTON,WV, 258 , 294 , 36 ,53.3%
25303,SOUTH CHARLESTON,WV," 2,137 "," 2,042 ", (95),48.9%
25304,CHARLESTON,WV," 2,865 "," 2,864 ", (1),50.0%
25306,CHARLESTON,WV," 2,782 "," 2,363 ", (419),45.9%
25309,CHARLESTON,WV, 335 , 315 , (20),48.5%
25309,S CHARLESTON,WV, 277 , 264 , (13),48.8%
25309,SOUTH CHARLESTON,WV," 3,207 "," 3,052 ", (155),48.8%
25311,CHARLESTON,WV," 4,004 "," 3,319 ", (685),45.3%
25312,CHARLESTON,WV," 1,844 "," 1,735 ", (109),48.5%
25313,CHARLESTON,WV," 2,596 "," 2,413 ", (183),48.2%
25313,CROSS LANES,WV," 1,704 "," 1,495 ", (209),46.7%
25314,CHARLESTON,WV," 4,381 "," 4,433 ", 52 ,50.3%
25315,CHARLESTON,WV, 480 , 492 , 12 ,50.6%
25315,CHESAPEAKE,WV, 95 , 71 , (24),42.8%
25315,MARMET,WV, 241 , 223 , (18),48.1%
25320,CHARLESTON,WV, 850 , 883 , 33 ,51.0%
25320,SISSONVILLE,WV, 259 , 263 , 4 ,50.4%
25321,CHARLESTON,WV, -   , 12 , 12 ,100.0%
25322,CHARLESTON,WV, -   , 11 , 11 ,100.0%
25339,CHARLESTON,WV, -   , 12 , 12 ,100.0%
25356,CHARLESTON,WV, 16 , 33 , 17 ,67.3%
25360,CHARLESTON,WV, -   , 13 , 13 ,100.0%
25361,CHARLESTON,WV, -   , 12 , 12 ,100.0%
25362,CHARLESTON,WV, 15 , 13 , (2),46.4%
25375,CHARLESTON,WV, 12 , -   , (12),0.0%
25387,CHARLESTON,WV," 2,079 "," 1,683 ", (396),44.7%
25401,MARTINSBURG,WV," 7,504 "," 7,154 ", (350),48.8%
25402,MARTINSBURG,WV, 864 ," 1,014 ", 150 ,54.0%
25403,MARTINSBURG,WV," 4,549 "," 6,247 "," 1,698 ",57.9%
25404,MARTINSBURG,WV," 10,208 "," 9,789 ", (419),49.0%
25405,MARTINSBURG,WV," 4,925 "," 5,265 ", 340 ,51.7%
25411,BERKELEY SPGS,WV, 142 , 191 , 49 ,57.4%
25411,BERKELEY SPRINGS,WV," 4,326 "," 4,527 ", 201 ,51.1%
25413,BUNKER HILL,WV," 3,431 "," 4,109 ", 678 ,54.5%
25414,CHARLES TOWN,WV," 6,380 "," 7,158 ", 778 ,52.9%
25419,FALLING WATERS,WV," 4,346 "," 5,175 ", 829 ,54.4%
25420,GERRARDSTOWN,WV," 1,380 "," 1,527 ", 147 ,52.5%
25422,GREAT CACAPON,WV, 341 , 597 , 256 ,63.6%
25423,HALLTOWN,WV, 30 , -   , (30),0.0%
25425,BOLIVAR,WV, 225 , 201 , (24),47.2%
25425,HARPERS FERRY,WV," 3,611 "," 3,885 ", 274 ,51.8%
25427,HEDGESVILLE,WV," 4,766 "," 5,974 "," 1,208 ",55.6%
25428,INWOOD,WV," 4,299 "," 4,612 ", 313 ,51.8%
25430,KEARNEYSVILLE,WV," 2,355 "," 2,856 ", 501 ,54.8%
25434,PAW PAW,WV, 537 , 570 , 33 ,51.5%
25438,RANSON,WV," 3,322 "," 3,074 ", (248),48.1%
25442,SHENANDOAH JUNCTION,WV, 296 , 394 , 98 ,57.1%
25442,SHENDOAH JCT,WV, 12 , -   , (12),0.0%
25443,SHEPHERDSTOWN,WV," 2,534 "," 2,491 ", (43),49.6%
25444,SLANESVILLE,WV, -   , 35 , 35 ,100.0%
25446,CHARLESTON,WV, -   , 12 , 12 ,100.0%
25446,SUMMIT POINT,WV, 46 , 108 , 62 ,70.1%
25501,ALKOL,WV, 24 , 36 , 12 ,60.0%
25502,APPLE GROVE,WV, 143 , 62 , (81),30.2%
25503,ASHTON,WV, -   , 11 , 11 ,100.0%
25504,BARBOURSVILLE,WV," 3,674 "," 3,417 ", (257),48.2%
25506,BRANCHLAND,WV, 955 , 922 , (33),49.1%
25507,CEREDO,WV, 261 , 229 , (32),46.7%
25508,CHAPMANVILLE,WV," 1,354 "," 1,415 ", 61 ,51.1%
25510,CULLODEN,WV," 1,830 "," 1,576 ", (254),46.3%
25512,EAST LYNN,WV, -   , 35 , 35 ,100.0%
25514,FORT GAY,WV, 730 , 735 , 5 ,50.2%
25515,GALIPOLIS FRY,WV, -   , 11 , 11 ,100.0%
25515,GALLIPOLIS FERRY,WV, 523 , 325 , (198),38.3%
25517,GENOA,WV, 105 , 109 , 4 ,50.9%
25520,GLENWOOD,WV, 54 , 11 , (43),16.9%
25521,GRIFFITHSVILLE,WV, 97 , 11 , (86),10.2%
25523,HAMLIN,WV, 843 , 799 , (44),48.7%
25524,HARTS,WV, 218 , 204 , (14),48.3%
25524,LEET,WV, 12 , 12 , -   ,50.0%
25526,HURRICANE,WV," 6,539 "," 6,534 ", (5),50.0%
25529,JULIAN,WV, 53 , 11 , (42),17.2%
25530,KENOVA,WV," 1,644 "," 1,432 ", (212),46.6%
25535,LAVALETTE,WV, 503 , 597 , 94 ,54.3%
25537,LESAGE,WV, 376 , 362 , (14),49.1%
25541,MILTON,WV," 2,716 "," 2,660 ", (56),49.5%
25545,ONA,WV," 1,010 "," 1,132 ", 122 ,52.8%
25547,PECKS MILL,WV, 12 , 12 , -   ,50.0%
25550,POINT PLEASANT,WV," 2,760 "," 2,551 ", (209),48.0%
25550,PT PLEASANT,WV, 168 , 158 , (10),48.5%
